"Record ID","Offense Code","Offense Ext","Offense Category","Description","Police District","Beat","Grid","Occurence Date","Occurence Time"
"1147381","4801","0","OBSTRUCTING","148(A)(1)PC RESIST PEACE OFFCR","3","3M","0734","01/02/2016","00:01:23"
"1147388","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","6","6B","1084","01/01/2016","00:22:36"
"1147389","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","3","3B","0766","01/02/2016","00:10:18"
"1147394","3599","62","NARCOTICS","11377(A) POSS DAN DRUG/SUPER X","5","5B","1369","01/01/2016","00:16:40"
"1147399","2404","13","AUTO THEFT","10851 VC AUTO THEFT LOCATE","2","2B","0552","01/01/2016","00:09:39"
"1147411","3599","62","NARCOTICS","11377(A) POSS DAN DRUG/SUPER X","UI","UI","UI","01/02/2016","00:01:02"
"1147412","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","3","3B","0747","01/02/2016","00:02:47"
"1147414","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2A","0233","01/01/2016","00:23:00"
"1147416","2803","04","STOLEN PROP","496D(A) PURCH STLN VEH-FEL","2","2A","0204","01/02/2016","00:13:49"
"1147417","2404","13","AUTO THEFT","10851 VC AUTO THEFT LOCATE","1","1A","0307","01/02/2016","00:13:52"
"1147420","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2A","0502","01/02/2016","00:15:05"
"1147423","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","6","6C","1441","01/02/2016","00:16:35"
"1147429","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","3","3B","0746","01/01/2016","00:21:34"
"1147433","4801","5","OBSTRUCTING","69 PC RESIST/OBSTRCT EXEC OFC","5","5A","1503","01/02/2016","00:18:20"
"1147435","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","1","1C","0438","01/02/2016","00:17:30"
"1147439","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","3","3B","0768","01/02/2016","00:22:30"
"1147442","5212","01","WEAPON OFFENSE","417(A)1) PC BRANDISH NON-GUN","2","2A","0233","01/02/2016","00:21:20"
"1147443","3599","36","NARCOTICS","11364.1(A) POSS UNLAWFUL PARAP","4","4B","0969","01/02/2016","00:22:23"
"1147444","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","4","4C","1287","01/02/2016","00:22:42"
"1147445","5404","8","TRAFFIC","23154(A) VC .01 BA ON PROB-DUI","3","3M","0744","01/03/2016","00:01:26"
"1147446","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","2","2B","0545","01/01/2016","00:01:51"
"1147448","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","3","3A","0701","01/01/2016","00:09:27"
"1147456","1313","19","BATTERY","242 PC BATTERY CIVILIAN","6","6A","1042","01/02/2016","00:05:06"
"1147459","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","2","2B","0564","01/02/2016","00:10:52"
"1147460","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2A","0232","01/02/2016","00:13:26"
"1147461","1313","19","BATTERY","242 PC BATTERY CIVILIAN","2","2A","0509","01/02/2016","00:16:00"
"1147462","2605","8","FRAUD","484G(B) PC ACCESS CARD FRAUD","1","1B","0444","01/02/2016","00:18:16"
"1147463","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","2","2A","0222","01/02/2016","00:10:00"
"1147464","1299","3","ROBBERY","212.5(A)ROBBERY-INHAB DWELLING","1","1C","0447","01/02/2016","00:13:08"
"1147466","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","3","3M","0744","01/02/2016","00:23:42"
"1147467","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","3","3M","0735","01/03/2016","00:00:46"
"1147468","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","6","6C","1136","01/03/2016","00:01:41"
"1147470","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6B","1018","01/03/2016","00:02:35"
"1147473","5299","127","WEAPON OFFENSE","30305(A)(1) FELON POSS AMMO-F","6","6A","1042","01/02/2016","00:15:26"
"1147474","7000","61","INCIDENT RPT","TOWED/STORED VEH-14602.6","5","5B","1369","01/01/2016","00:20:59"
"1147477","1315","20","AGG ASSAULT","245(A)(2) AWDW-FIREARM","1","1A","0103","01/02/2016","00:19:08"
"1147478","5400","1","TRAFFIC","TRAFFIC ACCIDENT-NON-INJURY","2","2B","0532","01/01/2016","00:13:37"
"1147479","2999","02","VANDALISM","594(B)(1) PC VANDALISM $400","3","3M","0745","01/01/2016","00:03:03"
"1147480","5299","127","WEAPON OFFENSE","30305(A)(1) FELON POSS AMMO-F","4","4C","1269","01/03/2016","00:08:36"
"1147483","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","2","2B","0563","01/03/2016","00:03:45"
"1147491","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2A","0510","01/03/2016","00:09:24"
"1147493","1299","0","ROBBERY","211 PC ROBBERY-UNSPECIFIED","2","2C","0604","01/03/2016","00:03:29"
"1147494","5212","02","WEAPON OFFENSE","417(A)2) PC BRANDISH FIREARM","5","5C","1637","01/02/2016","00:23:28"
"1147495","2204","0","BURGLARY","459 PC BURG RESIDENCE-NO FORCE","3","3M","0732","01/01/2016","00:10:00"
"1147496","1203","0","ROBBERY","211 PC ROBBERY-SHOPLIFT","4","4B","0969","01/02/2016","00:22:50"
"1147499","2099","3","ARSON","451(C) PC ARSON STRUC/LAND","4","4C","1227","01/03/2016","00:10:58"
"1147503","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","6","6E","1102","01/02/2016","00:20:20"
"1147505","5311","5","PUBLIC PEACE","647(F) PC DIP - DISORDERLY","3","3M","0732","01/03/2016","00:12:06"
"1147506","2404","13","AUTO THEFT","10851 VC AUTO THEFT LOCATE","1","1B","0435","01/03/2016","00:14:31"
"1147507","5212","57","WEAPON OFFENSE","21810 POSS METAL KNUCKLES","6","6C","1441","01/03/2016","00:19:46"
"1147508","3599","50","NARCOTICS","4573.5 BRING DRUGS INTO JAIL","4","4A","0965","01/01/2016","00:15:26"
"1147509","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","4","4A","1221","01/01/2016","00:18:13"
"1147510","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","2","2A","0222","01/03/2016","00:11:21"
"1147511","1299","0","ROBBERY","211 PC ROBBERY-UNSPECIFIED","2","2A","0504","01/02/2016","00:18:51"
"1147514","2399","2","LARCENY","484 PC PETTY THEFT","3","3M","0735","01/03/2016","00:18:30"
"1147515","3599","35","NARCOTICS","11378 HS POSS CNTRL SUB/SALE","5","5C","1624","01/03/2016","00:15:05"
"1147516","7000","43A","IMPOUND","IMPOUNDED VEHICLE","UI","UI","UI","01/02/2016","00:02:55"
"1147522","2301","0A","LARCENY","487(C) GRAND THEFT-PERS $950","6","6D","0861","01/02/2016","00:16:43"
"1147525","1299","2","ROBBERY","211 PC ROBBERY-BUSINESS","2","2C","0628","01/02/2016","00:18:17"
"1147527","3562","0","NARCOTICS","11357(B)HS POSS -28.5GR MARIJ","5","5B","1602","01/03/2016","00:18:13"
"1147529","2299","01","BURGLARY","459 PC BURG VEHICLE","5","5C","1639","01/02/2016","00:08:30"
"1147530","2204","0","BURGLARY","459 PC BURG RESIDENCE-NO FORCE","4","4C","1265","01/02/2016","00:19:49"
"1147531","3560","1","NARCOTICS","11359 HS POSS FOR SALE MARIJ","5","5A","1386","01/03/2016","00:18:22"
"1147533","2399","8","THEFT","485 PC GRAND THFT LOST PROP-F","5","5B","1359","01/03/2016","00:19:03"
"1147534","1315","20","AGG ASSAULT","245(A)(2) AWDW-FIREARM","6","6B","1086","01/01/2016","00:06:00"
"1147539","1399","4","BATTERY","243(D) BATTERY CIVILIAN W/INJ","5","5A","1363","01/03/2016","00:01:30"
"1147543","2204","0","BURGLARY","459 PC BURG RESIDENCE-NO FORCE","2","2B","0523","01/03/2016","00:09:00"
"1147549","1313","19","BATTERY","242 PC BATTERY CIVILIAN","4","4B","1336","01/03/2016","00:08:30"
"1147551","7000","43","TOWED/STORED","TOWED/STORED VEHICLE","5","5A","1371","01/02/2016","00:07:31"
"1147556","2203","0","BURGLARY","459 PC BURG BUSINESS-FORCE","6","6C","1113","01/04/2016","00:02:22"
"1147572","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2B","0526","01/03/2016","00:15:53"
"1147575","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2A","0512","01/04/2016","00:00:30"
"1147576","1315","20","AGG ASSAULT","245(A)(2) AWDW-FIREARM","5","5C","1634","01/03/2016","00:16:14"
"1147577","7000","43","TOWED/STORED","TOWED/STORED VEHICLE","2","2B","0563","01/02/2016","00:08:12"
"1147579","7000","43","TOWED/STORED","TOWED/STORED VEHICLE","1","1A","0123","01/02/2016","00:16:46"
"1147591","2999","02","VANDALISM","594(B)(1) PC VANDALISM $400","1","1C","0429","01/03/2016","00:07:30"
"1147595","2099","3","ARSON","451(C) PC ARSON STRUC/LAND","5","5B","1621","01/04/2016","00:00:46"
"1147596","2099","4","ARSON","451(D) PC ARSON OF PROPERTY","3","3M","0742","01/03/2016","00:12:37"
"1147598","2310","0","LARCENY","1708 US THEFT OF MAIL","4","4A","0917","01/02/2016","00:02:58"
"1147599","5400","1","TRAFFIC","TRAFFIC ACCIDENT-NON-INJURY","3","3A","0785","01/03/2016","00:14:05"
"1147600","2999","02","VANDALISM","594(B)(1) PC VANDALISM $400","1","1A","0306","01/03/2016","00:02:00"
"1147603","2299","01","BURGLARY","459 PC BURG VEHICLE","6","6D","0814","01/03/2016","00:12:15"
"1147612","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","1","1A","0106","01/03/2016","00:19:00"
"1147620","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","3","3M","0745","01/04/2016","00:00:58"
"1147621","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","3","3A","0775","01/03/2016","00:22:38"
"1147626","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2B","0537","01/03/2016","00:16:00"
"1147630","2999","02","VANDALISM","594(B)(1) PC VANDALISM $400","2","2C","0628","01/03/2016","00:00:05"
"1147633","2999","02","VANDALISM","594(B)(1) PC VANDALISM $400","4","4C","1267","01/03/2016","00:03:00"
"1147635","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","4","4C","1252","01/03/2016","00:22:00"
"1147642","1313","19","BATTERY","242 PC BATTERY CIVILIAN","1","1C","0426","01/04/2016","00:04:15"
"1147650","2999","15","VANDALISM","594(A)(1) PC VANDAL-DFACE PROP","2","2B","0545","01/02/2016","00:19:49"
"1147652","5404","000","TRAFFIC","23152(A) DUI ALCOHOL","4","4C","1251","01/03/2016","00:13:30"
"1147655","3571","0","NARCOTICS","11378 HS POSS/SALE AMPHETAMINE","6","6C","1111","01/03/2016","00:22:12"
"1147656","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6A","1001","01/03/2016","00:21:15"
"1147657","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6A","1081","01/04/2016","00:07:58"
"1147659","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6E","0888","01/03/2016","00:22:30"
"1147660","2404","13","AUTO THEFT","10851 VC AUTO THEFT LOCATE","5","5B","1614","01/03/2016","00:12:50"
"1147664","5212","68","WEAPON OFFENSE","25850(A) LOADED GUN IN PUB-F","5","5C","1654","01/04/2016","00:01:45"
"1147670","2399","4","LARCENY","484 PETTY THEFT/LICENSE PLATE","4","4B","0969","01/02/2016","00:12:00"
"1147671","2310","0","LARCENY","1708 US THEFT OF MAIL","6","6B","1065","01/03/2016","00:14:00"
"1147678","2399","4","LARCENY","484 PETTY THEFT/LICENSE PLATE","5","5A","1363","01/03/2016","00:21:00"
"1147686","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","3","3B","0767","01/03/2016","00:00:00"
"1147687","2303","1","LARCENY","487(A) PC GRAND THEFT $950","3","3B","0747","01/03/2016","00:14:30"
"1147696","2399","4","LARCENY","484 PETTY THEFT/LICENSE PLATE","6","6B","1058","01/03/2016","00:16:30"
"1147698","3599","61","NARCOTICS","11350(A) POSS CONTROLLED SUBST","2","2C","0614","01/03/2016","00:14:31"
"1147699","4801","0","OBSTRUCTING","148(A)(1)PC RESIST PEACE OFFCR","3","3M","0734","01/04/2016","00:06:16"
"1147700","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","5","5C","1639","01/04/2016","00:08:23"
"1147701","2399","4","LARCENY","484 PETTY THEFT/LICENSE PLATE","1","1A","0333","01/03/2016","00:20:00"
"1147702","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","3","3A","0704","01/04/2016","00:11:59"
"1147703","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","3","3M","0732","01/04/2016","00:11:21"
"1147706","4803","04","OBSTRUCT","148.5 PC FALSE RPT OF CRIME","UI","UI","UI","01/04/2016","00:05:54"
"1147708","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","2","2B","0522","01/04/2016","00:08:56"
"1147711","2404","13","AUTO THEFT","10851 VC AUTO THEFT LOCATE","6","6C","1403","01/02/2016","00:12:52"
"1147712","5707","0","PRIVACY","602 PC TRESPASS","3","3M","0742","01/04/2016","00:08:48"
"1147713","1313","21","BATTERY","243(B) PC BATTERY EMERG PERSON","6","6A","1032","01/04/2016","00:09:36"
"1147714","5404","8","TRAFFIC","23154(A) VC .01 BA ON PROB-DUI","6","6C","1443","01/03/2016","00:21:26"
"1147716","2303","3","LARCENY","484 PETTY THEFT-SHOPLIFT","6","6C","1111","01/02/2016","00:16:08"
"1147718","2204","0","BURGLARY","459 PC BURG RESIDENCE-NO FORCE","6","6D","0824","01/01/2016","00:17:00"
"1147720","2299","01","BURGLARY","459 PC BURG VEHICLE","4","4A","0928","01/02/2016","00:19:00"
"1147721","2399","2","LARCENY","484 PC PETTY THEFT","4","4C","1294","01/03/2016","00:06:05"
"1147722","2999","02","VANDALISM","594(B)(1) PC VANDALISM $400","3","3B","0766","01/01/2016","00:04:00"
"1147723","3599","61","NARCOTICS","11350(A) POSS CONTROLLED SUBST","6","6B","1401","01/03/2016","00:23:28"
"1147724","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","5","5B","1614","01/03/2016","00:06:20"
"1147725","3562","01","NARCOTICS","11357(C)HS POSS +28.5GR MARIJ","6","6B","1054","01/03/2016","00:16:41"
"1147726","3562","0","NARCOTICS","11357(B)HS POSS -28.5GR MARIJ","4","4A","0937","01/04/2016","00:17:12"
"1147731","2399","2","LARCENY","484 PC PETTY THEFT","2","2C","0603","01/03/2016","00:20:14"
"1147732","2501","01","FORGERY","476 PC PASS FICTICIOUS CHECK","2","2A","0503","01/03/2016","00:21:09"
"1147735","2206","0","BURGLARY","466 PC POSS OF BURG TOOLS","4","4A","0909","01/04/2016","00:02:58"
"1147737","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","2","2A","0236","01/04/2016","00:10:20"
"1147741","5213","5","WEAPON OFFENSE","246.3(A) PC NEGL DISCH FIREARM","5","5C","1605","01/04/2016","00:16:16"
"1147745","7399","36B","SAC CITY CODE","9.16.140B TRESPASS AFTR NOTICE","2","2B","0563","01/04/2016","00:17:25"
"1147750","7000","43","TOWED/STORED","TOWED/STORED VEHICLE","3","3B","0766","01/03/2016","00:17:56"
"1147755","2605","8","FRAUD","484G(B) PC ACCESS CARD FRAUD","4","4A","0905","01/04/2016","00:12:57"
"1147758","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2C","0622","01/04/2016","00:17:00"
"1147759","2803","4","STOLEN PROP","496D(A) PURCH STLN VEH-MISD","2","2A","0236","01/04/2016","00:20:28"
"1147763","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","1","1A","0123","01/03/2016","00:11:08"
"1147770","4801","0","OBSTRUCTING","148(A)(1)PC RESIST PEACE OFFCR","3","3A","0704","01/04/2016","00:23:34"
"1147776","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","2","2B","0563","01/04/2016","00:20:54"
"1147779","2404","13","AUTO THEFT","10851 VC AUTO THEFT LOCATE","2","2B","0523","01/03/2016","00:10:52"
"1147784","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","4","4A","0918","01/02/2016","00:12:00"
"1147786","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2C","0628","01/04/2016","00:12:08"
"1147787","5707","0","PRIVACY","602 PC TRESPASS","6","6A","1042","01/04/2016","00:13:00"
"1147792","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","2","2A","0221","01/04/2016","00:23:14"
"1147794","5213","4","WEAPON OFFENSE","246 PC SHOOT OCCUP DWELL/VEH","5","5B","1614","01/04/2016","00:22:40"
"1147795","1299","0","ROBBERY","211 PC ROBBERY-UNSPECIFIED","5","5C","1654","01/04/2016","00:22:10"
"1147798","1313","0","ASSAULT","240 PC ASSAULT/SIMPLE-CIVILIAN","4","4C","1257","01/04/2016","00:21:24"
"1147801","5401","0","TRAFFIC","20002(A) HIT/RUN-FAIL INFO","2","2A","0516","01/03/2016","00:14:40"
"1147802","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","2","2C","0568","01/04/2016","00:19:55"
"1147805","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","4","4C","1311","01/04/2016","00:08:00"
"1147811","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","3","3B","0746","01/04/2016","00:19:36"
"1147821","2399","2","LARCENY","484 PC PETTY THEFT","2","2A","0516","01/04/2016","00:16:29"
"1147822","1315","19","AGG ASSAULT","245(A)(1)AWDW-NON-FIREARM","5","5A","1387","01/04/2016","00:16:00"
"1147823","2605","3","FRAUD","484E(C)PC POSS CARD W/O CONSNT","3","3B","0736","01/04/2016","00:17:01"
"1147824","2399","4","LARCENY","484 PETTY THEFT/LICENSE PLATE","3","3B","0726","01/03/2016","00:22:00"
"1147827","2399","4","LARCENY","484 PETTY THEFT/LICENSE PLATE","4","4A","0902","01/04/2016","00:11:00"
"1147832","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6D","0804","01/05/2016","00:00:00"
"1147833","2299","01","BURGLARY","459 PC BURG VEHICLE","4","4C","1267","01/03/2016","00:11:00"
"1147839","7399","36B","SAC CITY CODE","9.16.140B TRESPASS AFTR NOTICE","6","6B","1084","01/05/2016","00:10:26"
"1147840","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","6","6A","1022","01/05/2016","00:06:05"
"1147844","2204","0","BURGLARY","459 PC BURG RESIDENCE-NO FORCE","1","1B","0434","01/02/2016","00:12:00"
"1147850","2202","0","BURGLARY","459 PC BURG RESIDENCE-FORCE","4","4C","1282","01/04/2016","00:07:30"
"1147852","1299","2","ROBBERY","211 PC ROBBERY-BUSINESS","2","2C","0604","01/04/2016","00:18:27"
"1147853","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","2","2B","0527","01/05/2016","00:06:30"
"1147854","2404","13","AUTO THEFT","10851 VC AUTO THEFT LOCATE","5","5B","1369","01/05/2016","00:11:42"
"1147860","1399","4","BATTERY","243(D) BATTERY CIVILIAN W/INJ","3","3M","0731","01/05/2016","00:00:10"
"1147861","1212","0","ROBBERY","215(A) PC CARJACKING","3","3M","0744","01/05/2016","00:01:48"
"1147866","2604","4","FRAUD","530 PC FALSE PERS. REC PROP","2","2A","0239","01/02/2016","00:12:00"
"1147867","2999","02","VANDALISM","594(B)(1) PC VANDALISM $400","2","2A","0514","01/02/2016","00:09:00"
"1147869","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","6","6B","1017","01/05/2016","00:01:30"
"1147870","2404","0","STOLEN VEHICLE","10851(A)VC TAKE VEH W/O OWNER","1","1B","0422","01/04/2016","00:21:00"
"1147871","2399","32","LARCENY","487(D)(2) GRAND THFT GUN $950","5","5C","1654","01/05/2016","00:09:30"
"1147872","7399","62","SAC CITY CODE","12.52.030(A) UNLAWFUL CAMP-PUB","3","3M","0734","01/04/2016","00:22:00"
"1147873","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","5","5C","1606","01/05/2016","00:08:39"
"1147874","4801","5","OBSTRUCTING","69 PC RESIST/OBSTRCT EXEC OFC","2","2C","0603","01/05/2016","00:08:55"
"1147875","3599","63","NARCOTICS","11377(A) POSS DANGEROUS DRUG","6","6A","1042","01/05/2016","00:09:48"
"1147878","2399","2","LARCENY","484 PC PETTY THEFT","5","5C","1639","01/05/2016","00:15:57"
"1147888","7399","62","SAC CITY CODE","12.52.030(A) UNLAWFUL CAMP-PUB","3","3M","0734","01/02/2016","00:01:42"
"1147889","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","1","1B","0435","01/05/2016","00:16:17"
"1147890","3599","22","NARCOTICS","11364 HS POSS DRUG PARAPH","1","1A","0333","01/05/2016","00:17:40"
"1147891","1203","0","ROBBERY","211 PC ROBBERY-SHOPLIFT","2","2C","0619","01/05/2016","00:18:09"
"1147892","1313","19","BATTERY","242 PC BATTERY CIVILIAN","4","4C","1227","01/05/2016","00:19:37"
"1147893","2099","2","ARSON","451(B) PC ARSON OF INHAB STRUC","3","3M","0732","01/05/2016","00:20:59"
